episode,global_step,episode_reward,episode_length,episode_speed_mean,episode_crashed_mean,episode_action_mean,episode_TimeLimit.truncated_mean,episode_crashed
1,5,3.9594544488936663,5,27.52085936404514,0.2,2.0,0.0,1.0
2,10,3.890810528770089,5,23.852010431463512,0.2,1.6,0.0,1.0
3,17,5.904559908434749,7,26.187628819532343,0.14285714285714285,2.857142857142857,0.0,1.0
4,29,10.735078802332282,12,26.26169868544979,0.08333333333333333,2.25,0.0,1.0
5,39,8.685047347098589,10,23.939574753604635,0.1,2.0,0.0,1.0
6,51,10.92439011670649,12,28.758853633338628,0.08333333333333333,2.4166666666666665,0.0,1.0
7,54,1.9274676833301783,3,20.30799695371033,0.3333333333333333,1.0,0.0,1.0
8,64,8.808668592944741,10,26.271882693379858,0.1,2.2,0.0,1.0
9,76,10.713266192004085,12,25.422288529902744,0.08333333333333333,1.6666666666666667,0.0,1.0
10,80,2.912507228553295,4,25.054521262693264,0.25,1.75,0.0,1.0
11,87,5.835181215777993,7,24.817307366876925,0.14285714285714285,2.2857142857142856,0.0,1.0
12,104,15.557788670063019,17,25.678575786219437,0.058823529411764705,2.2941176470588234,0.0,1.0
13,111,5.966760078445077,7,29.23836115381897,0.14285714285714285,2.5714285714285716,0.0,1.0
14,120,7.85375189781189,9,26.029373222624343,0.1111111111111111,1.3333333333333333,0.0,1.0
15,123,1.9446125216782093,3,21.754117213152682,0.3333333333333333,2.6666666666666665,0.0,1.0
16,127,2.913761354982853,4,25.0,0.25,2.0,0.0,1.0
17,130,1.9608586616814137,3,23.313631970098722,0.3333333333333333,2.6666666666666665,0.0,1.0
18,136,4.8510239673778415,6,25.157974130423852,0.16666666666666666,1.6666666666666667,0.0,1.0
19,157,19.37800751067698,21,25.082816941670135,0.047619047619047616,2.0,0.0,1.0
20,168,9.74059684947133,11,25.085484984966534,0.09090909090909091,2.272727272727273,0.0,1.0
21,175,5.8783852234482765,7,26.937121180586235,0.14285714285714285,1.4285714285714286,0.0,1.0
22,179,2.9219988584518433,4,23.394802101084736,0.25,2.25,0.0,1.0
23,182,1.931492704898119,3,20.84676521046679,0.3333333333333333,2.0,0.0,1.0
24,190,6.889369260519743,8,27.123090895850016,0.125,1.5,0.0,1.0
25,205,13.837772566825151,15,27.821581509972994,0.06666666666666667,2.1333333333333333,0.0,1.0
26,212,5.829071938991547,7,24.98427915967351,0.14285714285714285,2.2857142857142856,0.0,1.0
27,216,2.969692377373576,4,27.091051043259824,0.25,2.25,0.0,1.0
28,218,0.9688724013976753,2,24.166666666666664,0.5,0.0,0.0,1.0
29,230,10.770846266299486,12,25.75019453952449,0.08333333333333333,2.0,0.0,1.0
30,236,4.853496450930834,6,24.7902356044949,0.16666666666666666,2.3333333333333335,0.0,1.0
31,247,9.935805121436715,11,28.720025329714726,0.09090909090909091,1.8181818181818181,0.0,1.0
32,251,2.9264138732105494,4,23.829165487267506,0.25,1.25,0.0,1.0
33,255,2.895541924983263,4,23.151446800798134,0.25,1.5,0.0,1.0
34,257,0.9634184837341309,2,21.965750075855617,0.5,1.5,0.0,1.0
35,259,0.9649236593395472,2,23.38888888888889,0.5,0.0,0.0,1.0
36,262,1.9439818058162928,3,22.97882267047393,0.3333333333333333,1.6666666666666667,0.0,1.0
37,275,11.667185444384813,13,25.073940822805266,0.07692307692307693,2.0,0.0,1.0
38,278,1.932513413950801,3,23.9546524289986,0.3333333333333333,2.3333333333333335,0.0,1.0
39,282,2.8931914158165455,4,22.10900775841081,0.25,0.75,0.0,1.0
